"","Suggested.Symbol","U1","S1","U2","S2","U3","S3","U4","S4","U5","S5","U6","S6","U7","S7","U8","S8","U9","S9","U10","S10","U11","S11","name","ID"
"2155","HK2",305.61,NA,735.91,NA,NA,NA,520.38,NA,5952.2,NA,5025,NA,NA,NA,1130.3,NA,547.56,NA,NA,NA,65.848,NA,"HK2","P52789"
"2156","HK3",NA,NA,3704.1,NA,1394.9,NA,9442.1,NA,581.51,NA,359.02,NA,1821,NA,18819,2303.5,23530,NA,1581.9,NA,738.19,NA,"HK3","P52790"
"2157","EFNB2",NA,NA,518.44,NA,NA,NA,1311.4,NA,NA,NA,482.87,NA,972.4,NA,775.82,NA,4238.9,NA,377.3,NA,NA,NA,"EFNB2","P52799"
"2158","MRPL12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MRPL12","P52815"
"2159","STC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,12983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5071.9,"STC1","P52823"
"2160","NDST1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NDST1","P52848"
"2161","CAPZA1",51351,39139,71077,60084,NA,NA,246990,62920,91090,54339,NA,NA,211160,66334,NA,NA,453530,24197,62819,19178,NA,NA,"CAPZA1","P52907"
"2162","HMGA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HMGA2","P52926"
"2163","CRIP2",7601,13759,71442,22877,200470,32510,107320,59484,71419,26748,24790,56417,74933,61966,71824,17368,123250,8436.5,28335,11845,27090,35999,"CRIP2","P52943"
"2164","NUP98",67.661,NA,65.827,NA,NA,NA,NA,NA,133.1,NA,149.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NUP98","P52948"
"2165","BLVRA",NA,NA,NA,NA,3000.9,2250.5,13756,NA,NA,NA,NA,NA,7189.8,2250.4,NA,NA,8585.6,NA,3558.8,NA,7539.4,NA,"BLVRA","P53004"
"2166","SLC25A1",8235.1,2043.7,NA,NA,4238.2,NA,5344,1959.2,14894,NA,27349,853.56,NA,NA,NA,NA,NA,NA,123.85,NA,NA,NA,"SLC25A1","P53007"
"2167","PPP5C",NA,NA,NA,NA,NA,NA,2952.2,NA,2300.6,NA,NA,NA,13321,NA,6673.5,720.23,3804.9,NA,NA,NA,NA,NA,"PPP5C","P53041"
"2168","DAPK1",NA,NA,NA,642.2,1057.3,NA,NA,NA,NA,NA,220.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAPK1","P53355"
"2169","ARFIP1",NA,184.95,NA,NA,NA,NA,642.38,NA,4945.6,531.11,307.81,499.43,NA,NA,324.37,NA,159.72,NA,NA,NA,NA,NA,"ARFIP1","P53367"
"2170","ACLY",1303.2,47.31,8311,895.59,8609.4,NA,16634,2625.3,8356,NA,127090,NA,2642.2,NA,7052.5,1776.6,16629,NA,990.81,NA,NA,NA,"ACLY","P53396"
"2171","METAP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.96,NA,NA,NA,NA,NA,"METAP1","P53582"
"2172","SUCLG1",NA,NA,NA,NA,NA,NA,8713.8,NA,2004.3,NA,NA,NA,NA,NA,NA,NA,926.54,NA,5389.8,NA,922.57,NA,"SUCLG1","P53597"
"2173","MVD",NA,NA,NA,NA,489.51,NA,219.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MVD","P53602"
"2174","COPB1",29894,4614.1,21891,3774,89023,11453,43309,9113.9,31199,2920.8,60423,15075,6850.4,960.09,15126,4178.5,14116,NA,2295.2,NA,NA,NA,"COPB1","P53618"
"2175","COPA",65931,8300.9,45367,6192.8,229940,34793,66658,10065,112540,4766.2,71068,25428,8236.1,907.18,NA,NA,18959,NA,700.8,NA,NA,NA,"COPA","P53621"
"2176","CTSC",1456,NA,NA,NA,1215,NA,3499.2,NA,2277.6,NA,NA,NA,NA,NA,NA,NA,1052.8,NA,NA,NA,208.53,NA,"CTSC","P53634"
"2177","AP2S1",14802,NA,18511,NA,3890.1,NA,36154,11294,17219,NA,15523,NA,NA,NA,15995,NA,30418,NA,5658.8,NA,13427,NA,"AP2S1","P53680"
"2178","HCCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HCCS","P53701"
"2179","SLC5A3",2768.3,NA,270.84,NA,1677.4,NA,3697.1,NA,2436.3,NA,NA,NA,2237.3,NA,6671.8,NA,30363,NA,1253,NA,645.15,NA,"SLC5A3","P53794"
"2180","PTTG1IP",NA,NA,NA,NA,30174,NA,63652,10178,NA,NA,NA,NA,63984,3417.3,68838,NA,56435,NA,14691,NA,52502,NA,"PTTG1IP","P53801"
"2181","SLC16A1",157100,29626,216320,37709,401810,58833,138780,30089,151980,26211,255470,109310,137270,63620,81929,12526,174170,7371.1,62404,27358,44867,13554,"SLC16A1","P53985"
"2182","IST1",26141,3826.1,20793,2321.2,29871,NA,74963,21236,7908.6,NA,17585,3676.9,65462,4244.6,148030,45630,97269,4449.6,14704,4331.1,37917,NA,"IST1","P53990"
"2183","SEC24C",NA,252.12,NA,NA,2317.7,NA,5270.8,NA,1783.6,280.54,790.53,326.59,830.36,NA,11924,1087.9,6925.4,NA,1262.5,NA,1771,NA,"SEC24C","P53992"
"2184","SUB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUB1","P53999"
"2185","RARS1",1875.9,1112.9,1756.6,507.78,6756.3,NA,11729,1179.1,8658.8,4559.8,5760.2,NA,5094.5,NA,NA,NA,22847,387.95,2415.8,NA,5818.1,5920.8,"RARS","P54136"
"2186","CACNA2D1",21328,8240.1,9934.5,5836.9,33192,3887,41470,13503,1857.4,415.12,6976.8,9509.4,53917,6864.6,13413,2517.5,35446,NA,13976,3977.3,11267,977.69,"CACNA2D1","P54289"
"2187","YARS1",1547,NA,1506.5,NA,2318.8,NA,795.7,NA,7949.3,499.03,1908.4,360.54,2496,NA,4989,NA,7452.6,NA,1367.6,NA,1033.3,NA,"YARS","P54577"
"2188","USP14",3339.5,NA,1098.8,NA,5619.6,NA,4257.1,449.9,20077,NA,2104.8,NA,2703.3,NA,22675,1603.9,9313.9,NA,590.17,NA,2043.9,NA,"USP14","P54578"
"2189","PRKAG1",3648.5,NA,3982,NA,5162.6,NA,5571.6,NA,7289.4,NA,4016.5,NA,5572.7,NA,10094,NA,12074,NA,1144.4,NA,3101.2,NA,"PRKAG1","P54619"
"2190","HSPA2",1521.5,1466.5,3827.9,247.88,7077,1202.7,6477.1,NA,NA,NA,1765.9,1543,2782.2,746.46,1919.7,NA,7447.7,NA,1389.8,NA,1377.9,3554.5,"HSPA2","P54652"
"2191","BCAT1",NA,560.7,NA,1904.1,9755.5,1683.5,13014,NA,10032,NA,1910.5,2161.3,31596,5039.7,12167,NA,60625,1036.6,14365,NA,NA,NA,"BCAT1","P54687"
"2192","ATP1B3",51723,103100,60539,13640,71625,3425.4,70845,13908,74303,7533.3,40803,16550,74488,23470,329210,42703,279390,13915,23912,22892,73225,18413,"ATP1B3","P54709"
"2193","RAD23A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2602.2,NA,"RAD23A","P54725"
"2194","RAD23B",1140.6,NA,1084.6,NA,9426.4,NA,20562,1765.6,2493.1,NA,1713.4,1878.9,7123.7,NA,5141.8,NA,14719,NA,1451.8,NA,2776.2,NA,"RAD23B","P54727"
"2195","EPHB3",3760,NA,3499.3,NA,9156.1,NA,2908.7,NA,2591.2,NA,2933.9,NA,4989.8,2038.3,1132.4,NA,5152.1,NA,1524.6,NA,884.55,NA,"EPHB3","P54753"
"2196","EPHB4",3429.7,708.33,2633.5,NA,7250.5,1081,4686.1,692.78,847.69,90.835,NA,NA,4375.6,2071.7,6287.7,NA,6787.6,NA,787.78,NA,4712.7,2016.7,"EPHB4","P54760"
"2197","NAGLU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAGLU","P54802"
"2198","AK2",NA,NA,3783,NA,2074.7,NA,9115.2,NA,5282.5,NA,5854.2,NA,NA,NA,7065.4,NA,729.83,NA,NA,NA,NA,NA,"AK2","P54819"
"2199","GAS1",15671,NA,17543,NA,31165,1160.4,9690.4,1085.4,9825.6,NA,20533,1973.1,11722,NA,NA,NA,6639.5,NA,3161.7,510.15,380.35,384.13,"GAS1","P54826"
"2200","EMP3",NA,NA,NA,NA,15629,NA,55602,NA,NA,NA,NA,NA,72669,NA,86533,NA,116770,NA,15057,NA,72070,NA,"EMP3","P54852"
"2201","ALDH18A1",NA,NA,NA,NA,NA,NA,NA,NA,687.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALDH18A1","P54886"
"2202","NAPA",33239,2031.8,15460,1807.2,42682,6756.5,47211,6905.2,28737,2201.2,38311,11700,26142,NA,90678,10573,69124,1557.4,9567.1,NA,20304,610.21,"NAPA","P54920"
"2203","MFAP2",18410,4297,18418,NA,9946.4,NA,4267.3,NA,NA,NA,13935,NA,2195.8,NA,NA,NA,4453.7,NA,10378,16142,NA,NA,"MFAP2","P55001"
"2204","AIF1",NA,3836.5,NA,NA,NA,NA,26109,NA,NA,NA,NA,6432.7,NA,NA,22371,1995.6,7247.3,NA,NA,NA,8472.7,NA,"AIF1","P55008"
"2205","EIF5",308.97,NA,1620.9,NA,NA,NA,2659.6,NA,1416.2,NA,2121.6,NA,2322.1,NA,3094.3,NA,5902.3,NA,NA,NA,1427.1,NA,"EIF5","P55010"
"2206","SLC12A2",2493.2,386.46,3248.3,NA,1806.2,NA,873.12,NA,35328,10855,1588.2,NA,1082.4,NA,1685.5,NA,5313.2,NA,307.99,NA,684.3,NA,"SLC12A2","P55011"
"2207","PSMD4",767.19,NA,1774.9,NA,2897.2,NA,376.89,NA,6617.3,NA,5322.5,198.73,NA,NA,5618,NA,3159.2,NA,NA,NA,1661.9,337.51,"PSMD4","P55036"
"2208","APOC4",NA,NA,NA,NA,NA,57213,NA,NA,NA,NA,16306,77641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APOC4","P55056"
"2209","PLTP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PLTP","P55058"
"2210","CSE1L",3864.1,1145.1,2431.9,NA,5120.6,2037.9,5608.7,847.91,4890.7,973.88,5150,3927.5,5230.9,329.21,NA,NA,20698,5709.7,3775.1,839.32,3020.9,840.74,"CSE1L","P55060"
"2211","TMBIM6",81868,5905.4,5555.8,NA,26967,NA,10828,3534.3,NA,NA,14694,NA,6722.7,NA,NA,NA,NA,NA,2557.1,NA,10237,1750.8,"TMBIM6","P55061"
"2212","AQP5",NA,NA,NA,NA,NA,NA,1377.1,NA,NA,NA,NA,NA,19362,44098,NA,NA,NA,NA,NA,NA,NA,NA,"AQP5","P55064"
"2213","VCP",NA,NA,44766,12413,NA,NA,173050,26609,72186,11090,NA,NA,94254,12783,NA,NA,105410,NA,29388,4808.1,NA,NA,"VCP","P55072"
"2214","MFAP4",73570,6247.2,96301,NA,30601,NA,20473,5184.7,41116,NA,142070,1641.2,11622,NA,NA,NA,12034,NA,7609.5,7256.1,NA,NA,"MFAP4","P55083"
"2215","HADHB",NA,1269.9,NA,2100.4,NA,NA,6223.2,392.03,NA,1331.8,2960.2,1392.3,783.33,NA,NA,NA,NA,NA,495.01,885.16,904.84,7196.4,"HADHB","P55084"
"2216","INHBC",NA,NA,NA,NA,NA,NA,NA,NA,1744.2,NA,NA,NA,NA,NA,2761.5,2636.7,530.75,NA,NA,NA,NA,NA,"INHBC","P55103"
"2217","MANF",14996,9468.3,6302.8,1455.4,5407.6,NA,34609,2917.1,11234,4847.6,11392,8400.2,424.29,NA,142.05,NA,NA,NA,6372.3,NA,11867,5068,"MANF","P55145"
"2218","NCKAP1L",5772.2,104.57,16933,1404.2,7236.5,NA,16608,193.27,6093.6,38.608,12517,NA,13783,481.35,32430,537.03,122100,1144.4,4913.8,NA,12432,NA,"NCKAP1L","P55160"
"2219","AFDN",2791.1,431.44,948.81,NA,1983.1,NA,4125.3,NA,3422.9,554.57,1695.1,NA,5535.8,2290.5,4826,326.24,17372,223.27,1718.6,NA,5448.1,1129.8,"MLLT4","P55196"
"2220","NAP1L1",26795,11889,27210,2789,30736,5898.7,34365,6942.5,NA,NA,NA,NA,31689,18447,NA,NA,54447,3747.7,8972.8,6095.6,NA,NA,"NAP1L1","P55209"
"2221","CASP7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1452.9,NA,NA,NA,NA,NA,"CASP7","P55210"
"2222","CASP6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261.66,NA,777.62,NA,1258.1,NA,NA,NA,NA,NA,"CASP6","P55212"
"2223","GP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GP2","P55259"
"2224","ADK",NA,NA,NA,NA,NA,NA,2358.8,NA,NA,NA,NA,NA,NA,NA,1549.3,NA,2823.1,NA,NA,NA,NA,NA,"ADK","P55263"
"2225","ADAR",NA,NA,NA,NA,1305.2,281.26,NA,NA,369.92,NA,277.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ADAR","P55265"
"2226","LAMB2",156.86,698.21,206.9,723.77,155.44,280.75,114.48,618.3,2652.5,8273.8,NA,NA,13.7,90.239,NA,NA,NA,698.73,NA,4434.9,1220.9,7258.5,"LAMB2","P55268"
"2227","CDH6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1255.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CDH6","P55285"
"2228","CDH11",4874.3,NA,1751.4,3394.9,14287,NA,5901.5,NA,NA,NA,909.61,1199.1,3401.4,581.93,268.94,NA,8635.9,NA,2341.4,NA,1413.5,NA,"CDH11","P55287"
"2229","TPD52",NA,NA,NA,NA,NA,NA,NA,NA,24973,11794,NA,NA,NA,NA,8026.2,NA,1343.7,NA,NA,NA,304.3,NA,"TPD52","P55327"
"2230","SEC13",39488,12661,NA,4492.4,39220,NA,31713,13477,43636,8773.7,NA,22734,11024,NA,48246,NA,15592,NA,3241.3,NA,7838.1,12032,"SEC13","P55735"
"2231","SNU13",NA,NA,NA,NA,NA,NA,51213,NA,NA,NA,28280,2658.4,41854,NA,6611.8,1873.2,49379,NA,11779,NA,4565.2,NA,"NHP2L1","P55769"
"2232","CCL18",NA,NA,NA,NA,NA,NA,NA,NA,4404.4,17139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CCL18","P55774"
"2233","NPEPPS",7296.4,1960.7,6797.3,2719.6,13456,1722.4,27100,4145,31056,7464.6,7343.9,2039.8,22487,3430.4,NA,NA,54074,951.5,5613.9,743.42,13496,1438.7,"NPEPPS","P55786"
"2234","HNRNPH2",1097.5,2300.3,232.26,NA,4205.8,NA,1647.7,NA,899.92,NA,947.78,NA,NA,NA,763,622.53,NA,NA,NA,NA,NA,NA,"HNRNPH2","P55795"
"2235","OXCT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.9,"OXCT1","P55809"
"2236","EIF3B",6572.4,898.75,4643.4,NA,10963,NA,4715.9,11482,13820,1641.4,NA,NA,3552.2,1061.7,123440,17938,11972,NA,1290.7,NA,4764.1,541.91,"EIF3B","P55884"
"2237","FCGRT",127500,15531,24482,2084.5,109730,18292,163290,12612,81521,2412.4,113710,21366,73664,4111.1,24615,NA,11311,NA,30305,NA,23772,2454,"FCGRT","P55899"
"2238","BID",NA,1891.7,25608,4984.9,NA,5657,2205,6199.4,NA,NA,1373.5,9589.5,1460.2,NA,13565,NA,9496.4,NA,305.42,NA,NA,NA,"BID","P55957"
"2239","ATP5MF",15176,15635,33625,6443.1,60750,9130.7,82544,26297,57716,4642.9,73936,15827,23547,NA,NA,NA,NA,NA,7817.3,NA,14680,28449,"ATP5J2","P56134"
"2240","GFRA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GFRA1","P56159"
"2241","MARS1",1321,330,2082.9,1519.3,4584.3,192.89,506.03,NA,8628.7,4917.3,6951.8,NA,751.34,NA,38398,4692.2,2704,NA,NA,NA,NA,NA,"MARS","P56192"
"2242","ITGA1",3424.6,NA,2958.4,NA,982.11,NA,15955,NA,123.44,NA,2282.7,NA,7581.4,NA,1054.9,NA,9368.1,NA,1354.6,NA,713.69,NA,"ITGA1","P56199"
"2243","P2RX3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4029.8,NA,"P2RX3","P56373"
"2244","ATP5MJ",7165.1,NA,15256,NA,10337,NA,8963.4,NA,12525,NA,11249,NA,600.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MP68","P56378"
"2245","EIF6",7004.8,NA,6678.3,NA,8152.6,NA,13522,NA,10939,NA,6219.8,NA,6706.3,NA,65022,16064,31713,NA,3130.8,NA,7133.4,NA,"EIF6","P56537"
"2246","CTBP2",NA,NA,NA,NA,NA,NA,NA,NA,609.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CTBP2","P56545"
"2247","NDUFA6",NA,NA,NA,NA,4765.8,NA,1333.9,NA,7679.6,NA,9384.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NDUFA6","P56556"
"2248","PEX3",NA,NA,NA,NA,1525.8,NA,NA,NA,NA,NA,2128.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEX3","P56589"
"2249","NME5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NME5","P56597"
"2250","CLDN6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1126.7,NA,12515,NA,68325,9381.4,24796,15911,20810,NA,"CLDN6","P56747"
"2251","CLDN12",NA,NA,NA,NA,NA,NA,704.71,NA,NA,NA,NA,NA,4617.5,NA,4799.6,NA,4296.3,NA,1563.1,NA,1289.1,NA,"CLDN12","P56749"
"2252","HSD17B7",NA,NA,NA,NA,NA,NA,NA,NA,650.41,NA,1193.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HSD17B7","P56937"
"2253","RIPK4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RIPK4","P57078"
"2254","JAM2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAM2","P57087"
"2255","TMEM33",26994,17078,16950,3091.3,6698,NA,18387,3361,29507,5590.5,25196,708.74,7544.9,NA,362.89,NA,1031.5,NA,1737.8,NA,5907,958.5,"TMEM33","P57088"
"2256","GEMIN4",NA,NA,NA,NA,179.53,NA,NA,NA,2886.2,NA,6626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GEMIN4","P57678"
"2257","RAB25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2047.2,NA,8194.6,358.52,2530.9,NA,NA,NA,1090.6,NA,"RAB25","P57735"
"2258","CORO7",NA,NA,2677.8,NA,4147.4,NA,9221.6,NA,NA,NA,3358.3,NA,1456.6,NA,4278.5,NA,7010.2,NA,260.29,NA,2149.8,NA,"CORO7","P57737"
"2259","NUP107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NUP107","P57740"
"2260","GSDMD",1767.1,NA,NA,NA,NA,NA,NA,NA,5704.8,NA,1001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSDMD","P57764"
"2261","EEFSEC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EEFSEC","P57772"
"2262","EPPK1",282.24,109.08,NA,NA,NA,NA,159.28,76.953,4042.9,2227.3,213.15,100.9,NA,NA,512.21,111.66,563.59,61.073,9.5144,NA,397.24,296.67,"EPPK1","P58107"
"2263","ANTXR2",5824.6,651.75,3449.9,1422.6,9847.8,NA,5707.3,1232.6,2804.7,NA,1960.7,NA,1991.4,NA,481.28,NA,8094.5,NA,352.4,NA,NA,NA,"ANTXR2","P58335"
"2264","MTPN",8454.5,NA,4829.3,NA,9933.4,NA,10031,NA,NA,NA,3334.3,NA,12753,NA,66532,NA,11958,NA,20077,NA,7069.2,1020.8,"MTPN","P58546"
"2265","DEFA3",NA,NA,NA,NA,NA,NA,NA,NA,79448,209130,NA,NA,NA,NA,NA,NA,29911,49713,8539.1,60280,NA,NA,"DEFA3","P59666"
"2266","GNG2",17194,41282,25957,70565,34971,49854,98606,71272,10622,17560,25281,7073.4,69212,40509,80074,NA,158710,39775,10543,37438,53937,50692,"GNG2","P59768"
"2267","ARPC4",42074,18184,73380,7048.9,NA,NA,NA,NA,96568,18238,80010,13306,82911,11533,NA,NA,147280,5531.4,22693,3871.2,NA,NA,"ARPC4","P59998"
"2268","CD81",189540,153750,2414.7,179960,482610,105570,779210,226480,17571,83477,25544,138210,548590,79540,582920,111100,1659000,131000,302630,148700,448610,175290,"CD81","P60033"
"2269","SEC61G",16402,93033,NA,57767,58739,51730,140210,67228,NA,11572,NA,53333,34844,NA,9842.7,NA,NA,NA,24852,NA,55862,27802,"SEC61G","P60059"
"2270","TPI1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77031,84706,763120,100580,NA,NA,NA,NA,322030,104640,NA,NA,"TPI1","P60174"
"2271","PLP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PLP1","P60201"
"2272","EIF3E",NA,717.48,NA,NA,11726,813.59,6160.8,12130,8006.4,3427.7,138470,1067.8,4210.7,NA,58354,7022.5,8485.8,NA,666.26,NA,3370.7,391.36,"EIF3E","P60228"
"2273","SEC61B",NA,12037,NA,4753.9,NA,6589.7,24171,3534.9,NA,10128,NA,NA,21139,5157.1,8278.7,NA,NA,NA,10045,NA,30186,3549.8,"SEC61B","P60468"
"2274","PPP4C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5018.8,NA,4443.7,NA,NA,NA,204.58,NA,"PPP4C","P60510"
"2275","GABARAPL2",NA,NA,NA,NA,NA,NA,NA,NA,1181.9,NA,3026.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABARAPL2","P60520"
"2276","MYL6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144670,43350,NA,NA,NA,NA,103410,40399,NA,NA,"MYL6","P60660"
"2277","ACTB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220810,103060,286970,187380,"ACTB","P60709"
"2278","EIF4A1",NA,NA,22630,12206,NA,NA,48568,33550,NA,NA,NA,NA,45043,22960,NA,NA,62852,9157.4,22017,7409.9,29449,8252.5,"EIF4A1","P60842"
"2279","RPS20",NA,24423,1055.7,15263,53402,28328,33133,18455,55126,44532,NA,NA,14549,3216.8,NA,NA,38719,14612,4629,6676.9,13293,15664,"RPS20","P60866"
"2280","SNAP25",8297.2,NA,3760.2,NA,12250,NA,1391,NA,NA,NA,NA,1332.6,770.81,NA,NA,NA,1242.8,NA,NA,NA,750.55,NA,"SNAP25","P60880"
"2281","PRPS1",5089.9,NA,NA,NA,5466.3,212.94,2700.7,359.46,36524,946.47,2616.1,609.79,3309.3,NA,8651.7,NA,10478,NA,611.2,NA,3756.1,561.98,"PRPS1","P60891"
"2282","PSMA6",16100,2538.9,13307,1131.6,NA,NA,41729,1504.9,NA,NA,65450,2984.3,43228,1200.8,NA,NA,NA,NA,38663,1445.6,NA,NA,"PSMA6","P60900"
"2283","S100A10",2221000,539490,2492900,559030,3414400,966440,2637300,775010,3439000,1053400,NA,NA,1096500,1141900,1299400,248620,1555800,178490,475310,293110,497840,220200,"S100A10","P60903"
"2284","CDC42",571770,236070,735930,341390,894720,216420,1010800,391220,804070,144970,428790,307160,862530,131590,NA,NA,2590200,185810,425320,173290,900280,200910,"CDC42","P60953"
"2285","DSTN",7942.7,643.52,11111,13034,37037,14308,40806,5808.5,78847,17121,30575,5200.5,57056,10740,103480,1105.6,105470,NA,15323,NA,40723,9560.9,"DSTN","P60981"
"2286","GMFB",6751.8,1229.8,NA,2927.3,16432,NA,38480,4012.9,3673.9,2907.9,NA,NA,27010,NA,22070,NA,27386,NA,14853,NA,30150,2516.9,"GMFB","P60983"
"2287","RAB8A",27949,6057,30188,11298,28099,8785.7,27429,14173,15534,3525.6,29163,10499,33618,6382.3,51402,7490.6,141810,3906.3,13152,3236,30889,7916.4,"RAB8A","P61006"
"2288","SPCS3",NA,7006.4,NA,NA,17184,NA,30875,7036,NA,NA,2490.7,NA,8996.9,NA,1189.1,NA,NA,NA,2862,NA,4925.1,NA,"SPCS3","P61009"
"2289","SRP54",2640.3,NA,NA,NA,3160.2,7817.4,NA,NA,1064.3,NA,1397.4,6132.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SRP54","P61011"
"2290","RAB2A",30244,26662,25725,13685,33397,23827,78405,23065,50183,48489,NA,NA,68187,12361,123680,20935,114870,12137,19467,NA,55715,16783,"RAB2A","P61019"
"2291","RAB5B",23596,8454.3,26923,8535,43128,11258,46562,12806,28925,12482,32154,17352,34914,11195,33658,9429.8,57244,5076,7518.4,2618.9,NA,NA,"RAB5B","P61020"
"2292","RAB10",98869,45177,91959,38631,122050,54670,80309,71744,99516,42789,61921,43748,NA,NA,NA,NA,258720,37677,27277,35364,80038,40677,"RAB10","P61026"
"2293","CXCR4",6303.5,NA,NA,NA,3607.3,NA,1891.6,NA,7149.4,NA,1383.1,NA,2053.9,NA,4072.6,NA,6310,NA,1753.5,NA,3641.6,NA,"CXCR4","P61073"
"2294","UBE2D3",NA,NA,NA,NA,NA,2283.6,68546,NA,NA,NA,NA,NA,32932,NA,67915,NA,163630,NA,10364,NA,31539,NA,"UBE2D3","P61077"
"2295","UBE2M",NA,1311,NA,NA,NA,1464.2,1751.7,NA,NA,NA,NA,NA,1189.6,9464.3,2146.7,2107.3,2224,NA,NA,NA,NA,NA,"UBE2M","P61081"
"2296","UBE2N",NA,NA,NA,NA,NA,17703,17781,7496.1,NA,NA,NA,7349.1,NA,9072.9,NA,7079.4,27178,NA,NA,NA,11899,4253.9,"UBE2N","P61088"
"2297","RAB14",65472,12489,30922,2299.5,72046,13722,111650,19342,59419,17305,35531,15154,61560,3695.8,94958,11752,105020,NA,24803,NA,59059,4282.2,"RAB14","P61106"
"2298","ACTR3",77141,22669,89563,23430,NA,NA,NA,NA,111970,18437,NA,NA,127040,32515,NA,NA,279800,9749.1,45635,9605.3,121930,20969,"ACTR3","P61158"
