"","value","patient_1","patient_2","patient_3","patient_4","patient_5","patient_6","patient_7","patient_8","patient_9","patient_10","patient_11"
"344","PVR",1,0,0,0,1,0,0,0,0,0,0
"345","RAC2",1,1,1,1,1,1,1,1,1,0,1
"346","EZR",1,1,0,0,0,0,1,0,0,1,0
"347","FOLR1",1,1,0,1,1,1,1,1,0,1,1
"348","CD46",1,0,0,1,1,1,0,0,0,0,1
"349","RPS2",1,1,1,1,1,0,1,1,1,1,0
"350","MUC1",1,1,1,1,0,1,1,0,1,1,1
"351","ALOX15",1,1,1,1,0,0,1,0,0,0,0
"352","NPR1",1,0,0,1,1,0,1,0,0,0,1
"353","H2AX",1,0,1,1,0,1,1,0,0,1,0
"354","ITGB4",1,0,0,0,0,0,1,0,0,0,0
"355","CBR1",1,1,1,1,1,1,1,1,1,0,1
"356","ANK1",1,0,1,0,1,1,1,1,0,1,1
"357","PECAM1",1,1,1,1,1,1,1,1,1,1,1
"358","EPCAM",1,1,0,0,1,0,1,1,1,1,1
"359","POR",1,1,1,1,1,0,0,0,0,0,1
"360","EPB42",1,1,1,0,1,1,1,0,0,1,1
"361","ATP2A2",1,1,1,1,1,1,1,0,0,1,0
"362","CD36",1,1,1,1,0,1,1,1,0,1,1
"363","GOT1",1,0,0,1,1,0,1,1,0,0,1
"364","ITGA2",1,0,0,0,1,0,0,0,0,0,0
"365","GJA1",1,1,0,1,0,1,1,0,0,0,0
"366","CAPN2",1,1,0,1,1,1,1,1,1,0,1
"367","ENG",1,1,1,1,1,0,1,1,1,1,1
"368","PFKL",1,1,1,1,1,0,1,1,1,1,0
"369","LGALS3",1,1,0,0,0,0,1,0,0,1,0
"370","PSMC3",1,0,1,0,1,1,1,1,0,0,1
"371","TCP1",1,1,1,1,1,0,1,0,1,1,0
"372","RPL35A",1,0,1,0,1,1,0,0,0,0,0
"373","ITGB5",1,1,1,1,1,1,0,0,0,0,1
"374","ARF4",1,1,1,1,1,0,1,0,1,1,0
"375","PTPRA",1,1,1,1,0,1,1,0,1,0,1
"376","RHCE",1,0,1,1,1,1,1,0,0,1,1
"377","RPL17",1,1,1,1,1,1,1,1,0,0,1
"378","PGAM1",1,1,0,1,0,1,1,0,1,1,1
"379","CDH2",1,0,0,0,0,0,1,0,0,0,1
"380","HK1",1,1,1,0,0,0,0,0,0,0,1
"381","GGT1",1,1,0,1,1,0,0,0,0,0,0
"382","SLC9A1",1,1,0,0,0,0,1,0,0,0,0
"383","TYMP",1,1,0,1,0,0,1,0,0,1,1
"384","ATP2B1",1,1,1,1,1,1,1,1,1,1,1
"385","HLA-DPA1",1,1,1,1,1,1,1,1,1,1,1
"386","ANXA7",1,1,1,1,1,1,1,1,1,1,1
"387","CD33",1,1,1,0,0,0,0,0,0,0,1
"388","ALOX5AP",1,1,1,0,0,1,0,0,0,0,0
"389","MX1",1,1,0,0,1,0,0,1,1,1,1
"390","M6PR",1,1,1,1,1,1,1,1,1,0,1
"391","ITGAL",1,1,1,1,0,1,0,1,1,1,1
"392","ITGAX",1,1,0,1,0,1,0,1,1,0,1
"393","COL5A1",1,0,0,1,0,1,0,0,0,0,0
"394","GSTM3",1,0,1,1,0,1,1,1,0,1,0
"395","ATP6V1B2",1,1,0,1,1,1,0,1,0,1,1
"396","ATP6V1C1",1,0,0,0,1,0,0,0,0,0,0
"397","CSRP1",1,0,1,1,1,1,1,1,0,0,1
"398","MAOA",1,0,0,1,0,0,0,0,0,0,0
"399","ACO1",1,1,1,1,0,1,1,1,0,0,0
"400","NT5E",1,1,1,1,1,1,1,0,1,1,1
"401","C5AR1",1,1,0,1,0,0,1,1,1,0,1
"402","MSR1",1,0,0,1,0,1,0,0,0,0,0
"403","VDAC1",1,1,1,1,1,1,0,0,0,1,0
"404","BGN",1,0,0,0,1,0,0,0,0,1,1
"405","CD9",1,1,1,1,1,0,1,0,1,1,1
"406","COMT",1,1,1,1,1,1,0,0,0,0,0
