"","Suggested.Symbol","name","ID","C1","C2","C3","C4","C5"
"1935","GRK6","GRK6","P43250",1988.4,0,0,536290,0
"1936","BTD","BTD","P43251",230720,0,190460,34530,68097
"1937","GPD2","GPD2","P43304",0,0,0,0,0
"1938","SSR1","SSR1","P43307",0,0,84591,0,0
"1939","ALDH3B1","ALDH3B1","P43353",0,2068000,0,5671000,0
"1940","MAGEA9","MAGEA9","P43362",0,0,0,0,0
"1941","ZAP70","ZAP70","P43403",27273,0,8282.9,0,0
"1942","SYK","SYK","P43405",44227,0,0,817020,0
"1943","RANBP1","RANBP1","P43487",0,0,71970,0,0
"1944","NAMPT","NAMPT","P43490",84170,0,236780,1183400,0
"1945","AFM","AFM","P43652",17920000,6940.8,7200800,263740,3297300
"1946","PSMC4","PSMC4","P43686",106330,0,180210,0,0
"1947","VDAC2","VDAC2","P45880",17128,0,15906,0,0
"1948","ACADSB","ACADSB","P45954",0,0,0,0,0
"1949","CBX5","CBX5","P45973",0,0,0,0,0
"1950","USP5","USP5","P45974",71619,0,201300,360470,0
"1951","MAP2K4","MAP2K4","P45985",11591,0,0,0,0
"1952","PHKA2","PHKA2","P46019",0,0,0,0,0
"1953","SLC15A1","SLC15A1","P46059",0,0,0,739840,0
"1954","RANGAP1","RANGAP1","P46060",57018,0,27767,0,0
"1955","RECQL","RECQL","P46063",0,0,0,0,0
"1956","CRK","CRK","P46108",0,0,0,7742.7,0
"1957","CRKL","CRKL","P46109",0,0,25591,207080,0
"1958","BAG6","BAG6","P46379",14450,0,0,0,0
"1959","NSF","NSF","P46459",116640,0,169900,1193200,0
"1960","NOTCH1","NOTCH1","P46531",0,0,0,0,0
"1961","MAP2K3","MAP2K3","P46734",0,0,0,152570,0
"1962","BRCC3","BRCC3","P46736",7739.8,0,0,0,0
"1963","RPL27A","RPL27A","P46776",71129,0,0,0,0
"1964","RPL5","RPL5","P46777",277830,0,90599,0,0
"1965","RPL21","RPL21","P46778",261610,0,193060,0,25060
"1966","RPL28","RPL28","P46779",120890,0,111560,0,0
"1967","RPS9","RPS9","P46781",86961,0,144320,0,16490
"1968","RPS5","RPS5","P46782",62088,0,354570,0,0
"1969","RPS10","RPS10","P46783",41151,0,63344,0,0
"1970","MAP1B","MAP1B","P46821",0,0,59315,0,0
