"","Suggested.Symbol","ID","cut_sec","p.value_sec","HR_sec","LCL_sec","UCL_sec","adj.p.val_sec","cut_uc","p.value_uc","HR_uc","LCL_uc","UCL_uc","adj.p.val_uc"
"65","KDR","P35968",16638,0.11630344448088,0.285499250582476,0.0553246232566984,1.47330098760838,0.317311202634681,12663.5,0.0158595631653904,0.101880419557078,0.0112410495536694,0.923367505816037,0.0279769822131044
"66","ARL1","P40616",16586.5,0.262835305521104,0.469407698496668,0.121567281436446,1.81252377123472,0.375479826058664,24015.5,0.0123121855306393,0.0908599862174516,0.00904941762696203,0.912272749004176,0.0225585885266861
"67","EPS15","P42566",41206,0.126663732591629,0.336731401816099,0.0790789091298647,1.43385939710963,0.317311202634681,325780,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"68","UQCRFS1","P47985",28986,0.167385252664291,3.84994549626084e-09,0,Inf,0.317311202634681,17635,0.00693390235875668,0.126041667017833,0.0221017041572723,0.718790809594969,0.0137800338015797
"69","IDH2","P48735",99286.5,0.248017174916374,2.37025365465312,0.524381050317657,10.7137784326744,0.375479826058664,4728.8,0.0545649531439122,0.17748023753696,0.0244887774763273,1.286272242321,0.0696479483219042
"70","AGFG1","P52594",11281.5,0.59928878038224,0.652664395983267,0.131437808555187,3.24085450348444,0.676894521726703,79946.5,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"71","STAT2","P52630",7823.05,0.11630344448088,0.285499250582476,0.0553246232566984,1.47330098760838,0.317311202634681,1079045,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"72","HK3","P52790",48374,0.742325646578294,1.43286256682165,0.165970995226533,12.3702043998499,0.79282398988294,889310,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"73","RAD23B","P54727",13241.5,0.204367724657522,0.278132222306579,0.0339372187570603,2.27943054611989,0.337744555486641,91993.5,0.0494726164158875,0.146921906506889,0.0170198618440843,1.26828565410017,0.0658237354007995
"74","ATP5MF","P56134",109490,0.0515052673683016,9.48683298050904,0.592820032523218,151.816731997074,0.180891765684357,59712,0.00693390235875668,0.126041667017833,0.0221017041572723,0.718790809594969,0.0137800338015797
"75","RPS15A","P62244",45212,0.11630344448088,0.285499250582476,0.0553246232566984,1.47330098760838,0.317311202634681,37113,0.0695686791725663,0.245354919125732,0.0479143266238823,1.25638907151393,0.0873782610407432
"76","RPS28","P62857",10420.3,0.081375216556076,0.182337276037248,0.0219047793075829,1.5177912439033,0.250508019594195,35889,0.113448518836854,0.324332777795351,0.0752569271163323,1.39776834881715,0.129068242444827
"77","CXADR","P78310",12478,0.0283415668953573,0.171587699450923,0.0297986282183833,0.98804342223703,0.180891765684357,1263200,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"78","SLC25A3","Q00325",438225,0.0515052673683016,9.48683298050904,0.592820032523218,151.816731997074,0.180891765684357,233700,0.0121209769686172,0.096956349252981,0.0107969655984515,0.870664407953121,0.0225585885266861
"79","ROR1","Q01973",41502.5,0.167385252664291,3.84994549626084e-09,0,Inf,0.317311202634681,164235,0.0158595631653904,0.101880419557078,0.0112410495536694,0.923367505816037,0.0279769822131044
"80","ROR2","Q01974",9234.95,0.00804257138857933,0.0916739651936644,0.0106506315604035,0.78907207020227,0.097129516000535,535890,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"81","TAGLN","Q01995",11442.5,0.0243360437296843,0.180098507999126,0.0341233820841469,0.950535105328267,0.180891765684357,195820,0.129233102759863,0.214838164834112,0.0251389077958961,1.83601600531046,0.142884486854214
"82","PTPN13","Q12923",303940,0.167385252664291,3.84994549626084e-09,0,Inf,0.317311202634681,851195,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"83","FLII","Q13045",221696.5,0.204367724657522,0.278132222306579,0.0339372187570603,2.27943054611989,0.337744555486641,111840,0.129233102759863,0.214838164834112,0.0251389077958961,1.83601600531046,0.142884486854214
"84","STX5","Q13190",7609.45,0.169771598861868,0.338130091155648,0.0674167883946411,1.69589743545267,0.317311202634681,395.48,0.00156540225800261,7.5805574842845e-10,0,Inf,0.00396400249203887
"85","KCNAB2","Q13303",335392.3,0.167385252664291,3.84994549626084e-09,0,Inf,0.317311202634681,1528330,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"86","PTPRS","Q13332",7466,0.943515541328511,1.08000732432631,0.128388688209044,9.08503573694367,0.943515541328511,53852,0.0763876075244031,3.34006594871522,0.815969280256276,13.6721330222911,0.0944319242624511
"87","NNT","Q13423",136185,0.121188452036133,3.77866128470133,0.622198334875482,22.9481184763347,0.317311202634681,34502.5,0.00693390235875668,0.126041667017833,0.0221017041572723,0.718790809594969,0.0137800338015797
"88","SLC39A6","Q13433",12396.5,0.367690535861021,2.09935956997959,0.403132385241759,10.9326632277926,0.461819313041442,53259,0.0386739087172543,0.142919997733152,0.0173130411196069,1.17981154269377,0.0547009339514317
"89","TUBB3","Q13509",27279.5,0.10493909042983,3.53322903039328,0.697328840704609,17.9021813705566,0.316146379497437,48888.5,0.0837598885642956,3.31414799403454,0.795573196953882,13.805865969866,0.10038398858469
"90","ARHGEF7","Q14155",8718.5,0.729715806318212,0.756548604973971,0.154662334787991,3.70074454438213,0.79282398988294,6440,0.0982732426779862,0.218461865234875,0.0302721785339371,1.57654945475421,0.114288141484769
"91","GALE","Q14376",2954.5,0.590189833921103,1.48263177393028,0.350531735044668,6.27103556483272,0.676894521726703,263035,0.297686350725779,2.40919778622639,0.436817452545593,13.2875505301664,0.305469000417956
"92","PDIA5","Q14554",4127.3,0.590189833921103,1.48263177393028,0.350531735044668,6.27103556483272,0.676894521726703,32282,0.0488806912574286,0.224266125184194,0.044321324356068,1.13478772658215,0.0658237354007995
"93","ACAP2","Q15057",27760.5,0.851253335727654,0.817116155359335,0.0986184909584178,6.77032070619236,0.885077971584382,257815,0.163533184061993,3.16285554622038,0.572748713836935,17.4660456926057,0.173477769579277
"94","ATP6AP1","Q15904",15362,0.943515541328511,1.08000732432631,0.128388688209044,9.08503573694367,0.943515541328511,168945,0.167385252664291,3.84994549626084e-09,0,Inf,0.175196564455292
"95","C3AR1","Q16581",5820,0.544297257464241,1.94901502836077,0.216582322413029,17.5391026306015,0.657343610937583,385255,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"96","TMEM176B","Q3YBM2",11206.85,0.167385252664291,3.84994549626084e-09,0,Inf,0.317311202634681,5296.32,0.0182363914432867,0.0940376255929455,0.00830973692290878,1.06418230916311,0.0295166335731548
"97","DOCK11","Q5JSL3",89402.5,0.180320499758965,4.47521773879232,0.404898297834535,49.4632205586251,0.329189749559971,1174310,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"98","COLEC12","Q5KU26",40023.5,0.00775461466575633,5.65953255559174e-10,0,Inf,0.097129516000535,73877.5,0.00301854800296708,3.98331926634991e-10,0,Inf,0.00718048540099745
